,attr1,attr2,attr3,attr4,attr5,attr6,class
0,0,0,0,0,2,0,1
1,0,0,0,0,2,1,1
2,0,0,0,1,3,0,1
3,0,0,0,1,2,1,1
4,0,0,1,0,3,0,1
5,0,0,1,0,3,1,1
6,0,0,1,2,2,0,1
7,0,0,1,2,0,0,1
8,0,0,1,1,1,1,1
9,0,2,0,0,1,1,1
10,0,2,0,0,3,0,0
11,0,2,0,0,2,0,0
12,0,2,0,0,0,1,0
13,0,2,0,2,1,0,1
14,0,2,0,2,2,0,0
15,0,2,0,2,2,1,0
16,0,2,0,2,0,1,0
17,0,2,0,1,3,0,0
18,0,2,0,1,0,1,0
19,0,2,1,0,3,1,0
20,0,2,1,2,2,1,0
21,0,2,1,2,0,0,0
22,0,2,1,2,0,1,0
23,0,2,1,1,3,1,0
24,0,2,1,1,2,0,0
25,0,2,1,1,2,1,0
26,0,1,0,0,3,0,0
27,0,1,0,0,0,0,0
28,0,1,0,2,3,0,0
29,0,1,0,2,0,0,0
30,0,1,0,1,1,1,1
31,0,1,0,1,3,1,0
32,0,1,0,1,2,0,0
33,0,1,0,1,0,0,0
34,0,1,0,1,0,1,0
35,0,1,1,0,3,1,0
36,0,1,1,2,1,1,1
37,0,1,1,2,3,1,0
38,0,1,1,2,2,1,0
39,0,1,1,2,0,0,0
40,0,1,1,2,0,1,0
41,0,1,1,1,1,0,1
42,0,1,1,1,3,0,0
43,0,1,1,1,0,0,0
44,0,1,1,1,0,1,0
45,2,0,0,0,2,0,0
46,2,0,0,0,2,1,0
47,2,0,0,2,1,0,1
48,2,0,0,2,1,1,1
49,2,0,0,2,3,1,0
50,2,0,0,2,2,0,0
51,2,0,0,2,0,0,0
52,2,0,0,2,0,1,0
53,2,0,0,1,0,0,0
54,2,0,1,0,3,1,0
55,2,0,1,0,2,0,0
56,2,0,1,0,0,1,0
57,2,0,1,2,2,0,0
58,2,0,1,2,0,1,0
59,2,0,1,1,3,1,0
60,2,0,1,1,0,0,0
61,2,2,0,0,3,0,1
62,2,2,0,0,3,1,1
63,2,2,0,0,2,0,1
64,2,2,0,2,2,1,1
65,2,2,0,1,1,0,1
66,2,2,0,1,1,1,1
67,2,2,0,1,3,1,1
68,2,2,0,1,2,1,1
69,2,2,0,1,0,1,1
70,2,2,1,0,1,0,1
71,2,2,1,0,2,1,1
72,2,2,1,0,0,0,1
73,2,2,1,0,0,1,1
74,2,2,1,2,3,0,1
75,2,2,1,1,0,0,1
76,2,1,0,0,1,0,1
77,2,1,0,2,1,0,1
78,2,1,0,2,2,0,0
79,2,1,0,1,1,1,1
80,2,1,0,1,2,0,0
81,2,1,0,1,0,1,0
82,2,1,1,0,2,1,0
83,2,1,1,2,1,0,1
84,2,1,1,2,1,1,1
85,2,1,1,2,3,0,0
86,2,1,1,1,2,1,0
87,1,0,0,0,1,0,1
88,1,0,0,0,1,1,1
89,1,0,0,2,1,0,1
90,1,0,0,2,3,1,0
91,1,0,0,1,3,1,0
92,1,0,1,0,1,0,1
93,1,0,1,0,3,1,0
94,1,0,1,2,3,1,0
95,1,0,1,2,2,1,0
96,1,0,1,1,3,1,0
97,1,2,0,0,1,0,1
98,1,2,0,0,0,1,0
